DATE,AIRTMAX,AIRTMIN,RAIN
1950-05-12,20.43999954,11.68999974,3.300000049
1950-05-13,19.80999956,13.03999971,7.600000113
1950-05-14,20.31999955,14.02999969,8.200000122
1950-05-15,18.79999958,13.5699997,9.40000014
1950-05-16,19.86999956,14.22999968,7.500000112
1950-05-17,20.64999954,14.06999969,0
1950-05-18,19.31999957,13.06999971,0
1950-05-19,22.1499995,14.03999969,3.900000058
1950-05-20,19.81999956,14.90999967,3.200000048
1950-05-21,19.16999957,13.64999969,1.800000027
1950-05-22,19.73999956,11.50999974,4.100000061
1950-05-23,19.15999957,11.95999973,9.300000139
1950-05-24,19.64999956,13.78999969,7.000000104
1950-05-25,21.45999952,11.90999973,0
1950-05-26,21.24999953,10.97999975,0
1950-05-27,26.00999942,11.25999975,0
1950-05-28,25.24999944,12.13999973,0
1950-05-29,25.21999944,14.77999967,1.100000016
1950-05-30,23.35999948,15.10999966,0
1950-05-31,25.46999943,13.12999971,0
1950-06-01,28.27999937,13.2499997,0
1950-06-02,31.2599993,14.40999968,0
1950-06-03,29.46999934,15.23999966,0
1950-06-04,25.95999942,16.95999962,0
1950-06-05,24.50999945,15.63999965,0
1950-06-06,24.05999946,15.46999965,0
1950-06-07,23.75999947,15.11999966,0
1950-06-08,24.21999946,15.69999965,0.800000012
1950-06-09,22.90999949,15.65999965,3.700000055
1950-06-10,22.1799995,15.52999965,6.100000091
1950-06-11,22.5299995,16.21999964,4.500000067
1950-06-12,23.72999947,15.93999964,0
1950-06-13,23.55999947,14.78999967,0
1950-06-14,24.28999946,15.62999965,1.000000015
1950-06-15,22.2599995,15.80999965,1.800000027
1950-06-16,24.28999946,16.15999964,2.100000031
1950-06-17,24.29999946,15.69999965,0
1950-06-18,25.10999944,14.46999968,0
1950-06-19,23.49999947,13.5699997,0
1950-06-20,24.14999946,14.27999968,0
1950-06-21,25.69999943,13.2699997,0
1950-06-22,28.44999936,14.15999968,0
1950-06-23,27.70999938,15.38999966,0
1950-06-24,27.91999938,15.82999965,0
1950-06-25,33.92999924,16.24999964,0
1950-06-26,37.01999917,18.74999958,0
1950-06-27,36.29999919,20.99999953,0
1950-06-28,29.77999933,21.62999952,0
1950-06-29,31.2599993,18.49999959,0
1950-06-30,34.47999923,17.6999996,0
1950-07-01,27.87999938,20.36999954,0
1950-07-02,25.23999944,19.68999956,0
1950-07-03,24.65999945,18.13999959,7.000000104
1950-07-04,25.95999942,16.68999963,0
1950-07-05,28.03999937,15.40999966,0
1950-07-06,30.56999932,16.97999962,0
1950-07-07,32.35999928,17.7199996,0
1950-07-08,30.24999932,17.04999962,0
1950-07-09,29.46999934,16.91999962,0
1950-07-10,31.01999931,17.11999962,0
1950-07-11,28.86999935,18.71999958,0
1950-07-12,29.58999934,18.32999959,0
1950-07-13,29.44999934,17.57999961,0
1950-07-14,30.10999933,16.41999963,0
1950-07-15,29.69999934,17.66999961,0
1950-07-16,29.07999935,17.9199996,0
1950-07-17,33.28999926,16.53999963,0
1950-07-18,36.0099992,19.04999957,0
1950-07-19,33.49999925,20.82999953,0
1950-07-20,28.79999936,19.09999957,0
1950-07-21,30.26999932,18.53999959,0
1950-07-22,30.97999931,17.53999961,0
1950-07-23,33.34999925,19.99999955,0
1950-07-24,30.72999931,20.62999954,0
1950-07-25,29.49999934,19.14999957,0
1950-07-26,32.12999928,19.37999957,0
1950-07-27,31.4499993,18.41999959,0
1950-07-28,30.99999931,18.18999959,0
1950-07-29,28.80999936,19.06999957,0
1950-07-30,31.1099993,18.20999959,0
1950-07-31,29.70999934,18.33999959,0
1950-08-01,29.82999933,18.40999959,0
1950-08-02,29.19999935,17.8199996,0
1950-08-03,30.73999931,15.69999965,0
1950-08-04,28.79999936,16.45999963,0
1950-08-05,28.60999936,16.99999962,0
1950-08-06,27.67999938,16.96999962,0
1950-08-07,29.81999933,17.50999961,0
1950-08-08,30.44999932,16.54999963,0
1950-08-09,27.63999938,18.23999959,0
1950-08-10,29.18999935,17.34999961,0
1950-08-11,32.29999928,16.34999963,0
1950-08-12,34.19999924,17.02999962,0
1950-08-13,35.05999922,18.98999958,0
1950-08-14,33.48999925,19.08999957,0
1950-08-15,29.18999935,19.51999956,0
1950-08-16,26.55999941,18.19999959,0
1950-08-17,27.36999939,16.71999963,0
1950-08-18,31.1499993,16.05999964,0
1950-08-19,32.00999928,17.09999962,0
1950-08-20,30.59999932,18.26999959,0
1950-08-21,30.26999932,19.81999956,0
1950-08-22,27.82999938,18.46999959,0
1950-08-23,27.42999939,17.17999962,0
1950-08-24,27.77999938,16.07999964,0
1950-08-25,26.6899994,15.31999966,0
1950-08-26,25.60999943,16.22999964,0
1950-08-27,26.32999941,15.18999966,0
1950-08-28,27.55999938,15.31999966,0
1950-08-29,28.09999937,15.18999966,0
1950-08-30,26.7999994,14.70999967,0
1950-08-31,27.22999939,16.25999964,0
1950-09-01,29.70999934,15.69999965,0
